date,time,year,month,day,hour,minute,weekday,is_weekend,temp_c,ac,fan,light,tv,fridge
2024-01-01,04:32,2024,1,1,4,32,0,0,10.4,0,0,1,0,1
2024-01-01,04:58,2024,1,1,4,58,0,0,11.1,0,0,1,0,1
2024-01-01,09:19,2024,1,1,9,19,0,0,11.5,0,0,0,0,1
2024-01-01,10:45,2024,1,1,10,45,0,0,11.7,0,0,0,0,1
2024-01-01,10:53,2024,1,1,10,53,0,0,9.8,0,0,0,0,1
2024-01-01,13:23,2024,1,1,13,23,0,0,10.7,0,0,0,0,1
2024-01-01,13:34,2024,1,1,13,34,0,0,13.9,0,0,0,0,0
2024-01-01,14:29,2024,1,1,14,29,0,0,8.9,0,0,0,0,1
2024-01-01,14:30,2024,1,1,14,30,0,0,12.3,0,0,0,0,1
2024-01-01,20:09,2024,1,1,20,9,0,0,13.2,0,0,1,0,1
2024-01-02,02:30,2024,1,2,2,30,1,0,11.9,0,0,1,0,1
2024-01-02,02:52,2024,1,2,2,52,1,0,12.5,0,0,1,0,1
2024-01-02,03:33,2024,1,2,3,33,1,0,12.2,0,0,1,0,0
2024-01-02,03:37,2024,1,2,3,37,1,0,12.4,0,0,1,0,0
2024-01-02,04:20,2024,1,2,4,20,1,0,13.2,0,0,1,0,1
2024-01-02,10:58,2024,1,2,10,58,1,0,9.9,0,0,0,0,1
2024-01-02,13:41,2024,1,2,13,41,1,0,12.5,0,0,0,0,0
2024-01-02,14:10,2024,1,2,14,10,1,0,13.0,0,0,0,0,1
2024-01-02,15:15,2024,1,2,15,15,1,0,12.8,0,0,0,0,1
2024-01-02,16:23,2024,1,2,16,23,1,0,12.4,0,0,0,0,1
2024-01-02,17:05,2024,1,2,17,5,1,0,10.6,0,0,0,0,1
2024-01-02,17:22,2024,1,2,17,22,1,0,11.6,0,0,0,0,1
2024-01-02,17:25,2024,1,2,17,25,1,0,14.8,0,0,0,0,0
2024-01-02,18:36,2024,1,2,18,36,1,0,12.0,0,0,1,0,1
2024-01-02,18:38,2024,1,2,18,38,1,0,10.8,0,0,1,0,1
2024-01-02,22:12,2024,1,2,22,12,1,0,13.7,0,0,1,1,1
2024-01-02,22:47,2024,1,2,22,47,1,0,8.8,0,0,1,1,1
2024-01-02,23:19,2024,1,2,23,19,1,0,11.0,0,0,1,1,1
2024-01-02,23:41,2024,1,2,23,41,1,0,11.3,0,0,1,0,0
2024-01-02,23:51,2024,1,2,23,51,1,0,11.4,0,0,1,0,0
2024-01-03,03:24,2024,1,3,3,24,2,0,12.5,0,0,1,0,1
2024-01-03,08:11,2024,1,3,8,11,2,0,13.5,0,0,0,0,1
2024-01-03,08:27,2024,1,3,8,27,2,0,11.1,0,0,0,0,1
2024-01-03,08:42,2024,1,3,8,42,2,0,13.7,0,0,0,0,1
2024-01-03,13:37,2024,1,3,13,37,2,0,12.3,0,0,0,0,0
2024-01-03,15:47,2024,1,3,15,47,2,0,9.8,0,0,0,0,0
2024-01-03,16:04,2024,1,3,16,4,2,0,12.4,0,0,0,0,1
2024-01-03,17:35,2024,1,3,17,35,2,0,9.7,0,0,1,0,0
2024-01-03,18:32,2024,1,3,18,32,2,0,11.0,0,0,1,0,1
2024-01-03,20:25,2024,1,3,20,25,2,0,11.5,0,0,1,1,1
2024-01-03,21:42,2024,1,3,21,42,2,0,10.7,0,0,1,1,0
2024-01-03,21:59,2024,1,3,21,59,2,0,11.0,0,0,1,1,0
2024-01-03,22:51,2024,1,3,22,51,2,0,9.6,0,0,1,1,1
2024-01-04,01:30,2024,1,4,1,30,3,0,10.8,0,0,1,0,0
2024-01-04,02:31,2024,1,4,2,31,3,0,10.1,0,0,1,0,1
2024-01-04,02:55,2024,1,4,2,55,3,0,12.0,0,0,1,0,1
2024-01-04,03:39,2024,1,4,3,39,3,0,10.6,0,0,1,0,0
2024-01-04,05:17,2024,1,4,5,17,3,0,13.3,0,0,1,0,1
2024-01-04,08:48,2024,1,4,8,48,3,0,11.4,0,0,0,0,1
2024-01-04,10:32,2024,1,4,10,32,3,0,8.1,0,0,0,0,1
2024-01-04,14:19,2024,1,4,14,19,3,0,13.2,0,0,0,0,1
2024-01-04,16:32,2024,1,4,16,32,3,0,13.2,0,0,0,1,1
2024-01-04,16:58,2024,1,4,16,58,3,0,13.5,0,0,0,0,1
2024-01-04,21:31,2024,1,4,21,31,3,0,10.8,0,0,1,1,0
2024-01-05,00:00,2024,1,5,0,0,4,0,12.0,0,0,1,1,1
2024-01-05,00:33,2024,1,5,0,33,4,0,9.3,0,0,1,1,1
2024-01-05,09:22,2024,1,5,9,22,4,0,13.4,0,0,0,0,1
2024-01-05,09:38,2024,1,5,9,38,4,0,13.5,0,0,0,0,0
2024-01-05,11:12,2024,1,5,11,12,4,0,13.6,0,0,0,1,1
2024-01-05,11:28,2024,1,5,11,28,4,0,12.0,0,0,0,0,0
2024-01-05,12:50,2024,1,5,12,50,4,0,12.1,0,0,1,0,1
2024-01-06,00:48,2024,1,6,0,48,5,1,13.2,0,0,1,0,1
2024-01-06,01:15,2024,1,6,1,15,5,1,11.6,0,0,1,0,1
2024-01-06,01:21,2024,1,6,1,21,5,1,13.3,0,0,1,0,1
2024-01-06,03:53,2024,1,6,3,53,5,1,11.3,0,0,1,0,0
2024-01-06,06:20,2024,1,6,6,20,5,1,11.6,0,0,1,0,1
2024-01-06,06:59,2024,1,6,6,59,5,1,12.6,0,0,1,0,1
2024-01-06,08:00,2024,1,6,8,0,5,1,11.0,0,0,0,0,1
2024-01-06,11:41,2024,1,6,11,41,5,1,12.1,0,0,0,0,0
2024-01-06,17:15,2024,1,6,17,15,5,1,14.0,0,0,0,1,1
2024-01-06,18:20,2024,1,6,18,20,5,1,9.8,0,0,1,1,1
2024-01-06,22:19,2024,1,6,22,19,5,1,12.7,0,0,1,1,1
2024-01-07,00:42,2024,1,7,0,42,6,1,12.8,0,0,1,1,1
2024-01-07,03:42,2024,1,7,3,42,6,1,15.5,0,0,1,0,0
2024-01-07,07:33,2024,1,7,7,33,6,1,10.7,0,0,0,0,0
2024-01-07,07:34,2024,1,7,7,34,6,1,11.8,0,0,1,0,0
2024-01-07,10:07,2024,1,7,10,7,6,1,13.3,0,0,0,0,1
2024-01-07,11:20,2024,1,7,11,20,6,1,12.9,0,0,0,0,1
2024-01-07,12:24,2024,1,7,12,24,6,1,12.0,0,0,0,0,1
2024-01-07,12:33,2024,1,7,12,33,6,1,12.9,0,0,0,0,1
2024-01-07,14:30,2024,1,7,14,30,6,1,10.9,0,0,0,1,1
2024-01-07,17:36,2024,1,7,17,36,6,1,9.9,0,0,1,1,0
2024-01-07,19:17,2024,1,7,19,17,6,1,11.2,0,0,1,1,1
2024-01-07,21:28,2024,1,7,21,28,6,1,14.1,0,0,1,1,0
2024-01-07,22:06,2024,1,7,22,6,6,1,10.6,0,0,1,1,1
2024-01-08,01:56,2024,1,8,1,56,0,0,9.9,0,0,1,0,0
2024-01-08,04:40,2024,1,8,4,40,0,0,12.6,0,0,1,0,1
2024-01-08,11:25,2024,1,8,11,25,0,0,12.7,0,0,0,0,0
2024-01-08,12:09,2024,1,8,12,9,0,0,11.3,0,0,0,0,1
2024-01-08,14:37,2024,1,8,14,37,0,0,12.2,0,0,0,0,1
2024-01-08,16:11,2024,1,8,16,11,0,0,12.0,0,0,0,0,1
2024-01-08,17:24,2024,1,8,17,24,0,0,11.9,0,0,0,0,1
2024-01-08,20:08,2024,1,8,20,8,0,0,13.0,0,0,1,1,1
2024-01-08,22:23,2024,1,8,22,23,0,0,12.7,0,0,1,1,1
2024-01-08,23:18,2024,1,8,23,18,0,0,11.9,0,0,1,1,1
2024-01-08,23:25,2024,1,8,23,25,0,0,12.3,0,0,1,1,0
2024-01-09,00:32,2024,1,9,0,32,1,0,9.2,0,0,1,1,1
2024-01-09,02:51,2024,1,9,2,51,1,0,15.3,0,0,1,0,1
2024-01-09,03:15,2024,1,9,3,15,1,0,11.4,0,0,1,0,1
2024-01-09,05:40,2024,1,9,5,40,1,0,11.7,0,0,1,0,0
2024-01-09,06:30,2024,1,9,6,30,1,0,9.4,0,0,1,0,1
2024-01-09,10:00,2024,1,9,10,0,1,0,11.9,0,0,0,0,1
2024-01-09,10:55,2024,1,9,10,55,1,0,12.6,0,0,0,0,1
2024-01-09,12:33,2024,1,9,12,33,1,0,12.9,0,0,0,0,1
2024-01-09,14:43,2024,1,9,14,43,1,0,12.2,0,0,0,0,1
2024-01-09,14:47,2024,1,9,14,47,1,0,12.8,0,0,0,0,1
2024-01-09,15:09,2024,1,9,15,9,1,0,14.1,0,0,0,0,1
2024-01-09,15:41,2024,1,9,15,41,1,0,10.2,0,0,0,0,0
2024-01-09,16:33,2024,1,9,16,33,1,0,12.4,0,0,0,0,1
